State,Year,Sex,Spec_Nd,Age_Bin,Race,Adopted,Numbers
Alabama,2011,boy,specYes,over9,hispanic,adopted,0

Alabama,2011,boy,specYes,over9,other,notAdopted,0

Alabama,2011,boy,specYes,over9,other,adopted,0

Alabama,2011,girl,specNo,under9,white,notAdopted,145

Alabama,2011,girl,specNo,under9,white,adopted,80

Alabama,2011,girl,specNo,under9,black,notAdopted,76

Alabama,2011,girl,specNo,under9,black,adopted,38

Alabama,2011,girl,specNo,under9,hispanic,notAdopted,25

Alabama,2011,girl,specNo,under9,hispanic,adopted,14

Alabama,2011,girl,specNo,under9,other,notAdopted,21

Alabama,2011,girl,specNo,under9,other,adopted,11

Alabama,2011,girl,specNo,over9,white,notAdopted,165

Alabama,2011,girl,specNo,over9,white,adopted,60

Alabama,2011,girl,specNo,over9,black,notAdopted,100

Alabama,2011,girl,specNo,over9,black,adopted,30

Alabama,2011,girl,specNo,over9,hispanic,notAdopted,11

