State,Year,Sex,Spec_Nd,Age_Bin,Race,Adopted,Numbers
Alabama,2005,girl,specNo,over9,hispanic,adopted,78

Alabama,2005,girl,specNo,over9,other,notAdopted,2

Alabama,2005,girl,specNo,over9,other,adopted,45

Alabama,2005,girl,specYes,under9,white,notAdopted,0

Alabama,2005,girl,specYes,under9,white,adopted,5322

Alabama,2005,girl,specYes,under9,black,notAdopted,0

Alabama,2005,girl,specYes,under9,black,adopted,4300

Alabama,2005,girl,specYes,under9,hispanic,notAdopted,0

Alabama,2005,girl,specYes,under9,hispanic,adopted,2843

Alabama,2005,girl,specYes,under9,other,notAdopted,0

Alabama,2005,girl,specYes,under9,other,adopted,1542

Alabama,2005,girl,specYes,over9,white,notAdopted,1

Alabama,2005,girl,specYes,over9,white,adopted,2711

Alabama,2005,girl,specYes,over9,black,notAdopted,5

Alabama,2005,girl,specYes,over9,black,adopted,2278

Alabama,2005,girl,specYes,over9,hispanic,notAdopted,0

Alabama,2005,girl,specYes,over9,hispanic,adopted,948

Alabama,2005,girl,specYes,over9,other,notAdopted,0

Alabama,2005,girl,specYes,over9,other,adopted,598

Alabama,2006,boy,specNo,under9,white,notAdopted,210

Alabama,2006,boy,specNo,under9,white,adopted,1630

Alabama,2006,boy,specNo,under9,black,notAdopted,143

Alabama,2006,boy,specNo,under9,black,adopted,586

Alabama,2006,boy,specNo,under9,hispanic,notAdopted,5

Alabama,2006,boy,specNo,under9,hispanic,adopted,487

Alabama,2006,boy,specNo,under9,other,notAdopted,13

Alabama,2006,boy,specNo,under9,other,adopted,203

Alabama,2006,boy,specNo,over9,white,notAdopted,242

Alabama,2006,boy,specNo,over9,white,adopted,353

Alabama,2006,boy,specNo,over9,black,notAdopted,267

Alabama,2006,boy,specNo,over9,black,adopted,173

Alabama,2006,boy,specNo,over9,hispanic,notAdopted,5

Alabama,2006,boy,specNo,over9,hispanic,adopted,60

Alabama,2006,boy,specNo,over9,other,notAdopted,9

Alabama,2006,boy,specNo,over9,other,adopted,41

Alabama,2006,boy,specYes,under9,white,notAdopted,0

Alabama,2006,boy,specYes,under9,white,adopted,5875

Alabama,2006,boy,specYes,under9,black,notAdopted,0

Alabama,2006,boy,specYes,under9,black,adopted,3989

Alabama,2006,boy,specYes,under9,hispanic,notAdopted,0

Alabama,2006,boy,specYes,under9,hispanic,adopted,3145

Alabama,2006,boy,specYes,under9,other,notAdopted,0

Alabama,2006,boy,specYes,under9,other,adopted,1592

Alabama,2006,boy,specYes,over9,white,notAdopted,1

Alabama,2006,boy,specYes,over9,white,adopted,2383

Alabama,2006,boy,specYes,over9,black,notAdopted,7

Alabama,2006,boy,specYes,over9,black,adopted,1875

Alabama,2006,boy,specYes,over9,hispanic,notAdopted,0

Alabama,2006,boy,specYes,over9,hispanic,adopted,934

Alabama,2006,boy,specYes,over9,other,notAdopted,0

Alabama,2006,boy,specYes,over9,other,adopted,563

Alabama,2006,girl,specNo,under9,white,notAdopted,167

Alabama,2006,girl,specNo,under9,white,adopted,1629

Alabama,2006,girl,specNo,under9,black,notAdopted,142

Alabama,2006,girl,specNo,under9,black,adopted,588

Alabama,2006,girl,specNo,under9,hispanic,notAdopted,6

Alabama,2006,girl,specNo,under9,hispanic,adopted,462

Alabama,2006,girl,specNo,under9,other,notAdopted,13

Alabama,2006,girl,specNo,under9,other,adopted,205

Alabama,2006,girl,specNo,over9,white,notAdopted,216

Alabama,2006,girl,specNo,over9,white,adopted,427

Alabama,2006,girl,specNo,over9,black,notAdopted,197

Alabama,2006,girl,specNo,over9,black,adopted,178

Alabama,2006,girl,specNo,over9,hispanic,notAdopted,5

Alabama,2006,girl,specNo,over9,hispanic,adopted,72

Alabama,2006,girl,specNo,over9,other,notAdopted,2

Alabama,2006,girl,specNo,over9,other,adopted,40

Alabama,2006,girl,specYes,under9,white,notAdopted,0

Alabama,2006,girl,specYes,under9,white,adopted,5383

Alabama,2006,girl,specYes,under9,black,notAdopted,0

Alabama,2006,girl,specYes,under9,black,adopted,3698

Alabama,2006,girl,specYes,under9,hispanic,notAdopted,0

Alabama,2006,girl,specYes,under9,hispanic,adopted,2966

Alabama,2006,girl,specYes,under9,other,notAdopted,0

Alabama,2006,girl,specYes,under9,other,adopted,1473

Alabama,2006,girl,specYes,over9,white,notAdopted,3

Alabama,2006,girl,specYes,over9,white,adopted,2531

Alabama,2006,girl,specYes,over9,black,notAdopted,5

Alabama,2006,girl,specYes,over9,black,adopted,1727

Alabama,2006,girl,specYes,over9,hispanic,notAdopted,0

Alabama,2006,girl,specYes,over9,hispanic,adopted,965

Alabama,2006,girl,specYes,over9,other,notAdopted,0

Alabama,2006,girl,specYes,over9,other,adopted,575

Alabama,2007,boy,specNo,under9,white,notAdopted,224

Alabama,2007,boy,specNo,under9,white,adopted,1697

Alabama,2007,boy,specNo,under9,black,notAdopted,148

Alabama,2007,boy,specNo,under9,black,adopted,616

Alabama,2007,boy,specNo,under9,hispanic,notAdopted,12

Alabama,2007,boy,specNo,under9,hispanic,adopted,500

Alabama,2007,boy,specNo,under9,other,notAdopted,14

Alabama,2007,boy,specNo,under9,other,adopted,229

Alabama,2007,boy,specNo,over9,white,notAdopted,252

Alabama,2007,boy,specNo,over9,white,adopted,288

Alabama,2007,boy,specNo,over9,black,notAdopted,288

Alabama,2007,boy,specNo,over9,black,adopted,166

Alabama,2007,boy,specNo,over9,hispanic,notAdopted,11

Alabama,2007,boy,specNo,over9,hispanic,adopted,60

Alabama,2007,boy,specNo,over9,other,notAdopted,12

Alabama,2007,boy,specNo,over9,other,adopted,29

Alabama,2007,boy,specYes,under9,white,notAdopted,0

Alabama,2007,boy,specYes,under9,white,adopted,5983

Alabama,2007,boy,specYes,under9,black,notAdopted,1

Alabama,2007,boy,specYes,under9,black,adopted,3881

Alabama,2007,boy,specYes,under9,hispanic,notAdopted,0

Alabama,2007,boy,specYes,under9,hispanic,adopted,3495

Alabama,2007,boy,specYes,under9,other,notAdopted,1

Alabama,2007,boy,specYes,under9,other,adopted,1658

Alabama,2007,boy,specYes,over9,white,notAdopted,1

Alabama,2007,boy,specYes,over9,white,adopted,2473

Alabama,2007,boy,specYes,over9,black,notAdopted,9

Alabama,2007,boy,specYes,over9,black,adopted,1682

Alabama,2007,boy,specYes,over9,hispanic,notAdopted,0

Alabama,2007,boy,specYes,over9,hispanic,adopted,1006

Alabama,2007,boy,specYes,over9,other,notAdopted,0

Alabama,2007,boy,specYes,over9,other,adopted,555

Alabama,2007,girl,specNo,under9,white,notAdopted,203

Alabama,2007,girl,specNo,under9,white,adopted,1629

Alabama,2007,girl,specNo,under9,black,notAdopted,151

Alabama,2007,girl,specNo,under9,black,adopted,602

Alabama,2007,girl,specNo,under9,hispanic,notAdopted,12

Alabama,2007,girl,specNo,under9,hispanic,adopted,561

Alabama,2007,girl,specNo,under9,other,notAdopted,16

Alabama,2007,girl,specNo,under9,other,adopted,238

Alabama,2007,girl,specNo,over9,white,notAdopted,225

Alabama,2007,girl,specNo,over9,white,adopted,355

Alabama,2007,girl,specNo,over9,black,notAdopted,205

Alabama,2007,girl,specNo,over9,black,adopted,140

Alabama,2007,girl,specNo,over9,hispanic,notAdopted,11

Alabama,2007,girl,specNo,over9,hispanic,adopted,61

Alabama,2007,girl,specNo,over9,other,notAdopted,6

Alabama,2007,girl,specNo,over9,other,adopted,47

Alabama,2007,girl,specYes,under9,white,notAdopted,0

Alabama,2007,girl,specYes,under9,white,adopted,5730

Alabama,2007,girl,specYes,under9,black,notAdopted,2

Alabama,2007,girl,specYes,under9,black,adopted,3587

Alabama,2007,girl,specYes,under9,hispanic,notAdopted,0

Alabama,2007,girl,specYes,under9,hispanic,adopted,3297

Alabama,2007,girl,specYes,under9,other,notAdopted,0

Alabama,2007,girl,specYes,under9,other,adopted,1575

Alabama,2007,girl,specYes,over9,white,notAdopted,5

Alabama,2007,girl,specYes,over9,white,adopted,2590

Alabama,2007,girl,specYes,over9,black,notAdopted,9

Alabama,2007,girl,specYes,over9,black,adopted,1544

Alabama,2007,girl,specYes,over9,hispanic,notAdopted,0

Alabama,2007,girl,specYes,over9,hispanic,adopted,1107

Alabama,2007,girl,specYes,over9,other,notAdopted,0

Alabama,2007,girl,specYes,over9,other,adopted,550

Alabama,2008,boy,specNo,under9,white,notAdopted,227

Alabama,2008,boy,specNo,under9,white,adopted,1833

Alabama,2008,boy,specNo,under9,black,notAdopted,146

Alabama,2008,boy,specNo,under9,black,adopted,657

Alabama,2008,boy,specNo,under9,hispanic,notAdopted,24

Alabama,2008,boy,specNo,under9,hispanic,adopted,615

Alabama,2008,boy,specNo,under9,other,notAdopted,18

Alabama,2008,boy,specNo,under9,other,adopted,259

Alabama,2008,boy,specNo,over9,white,notAdopted,251

Alabama,2008,boy,specNo,over9,white,adopted,339

Alabama,2008,boy,specNo,over9,black,notAdopted,245

Alabama,2008,boy,specNo,over9,black,adopted,190

Alabama,2008,boy,specNo,over9,hispanic,notAdopted,18

Alabama,2008,boy,specNo,over9,hispanic,adopted,84

Alabama,2008,boy,specNo,over9,other,notAdopted,11

Alabama,2008,boy,specNo,over9,other,adopted,44

Alabama,2008,boy,specYes,under9,white,notAdopted,2

Alabama,2008,boy,specYes,under9,white,adopted,6619

Alabama,2008,boy,specYes,under9,black,notAdopted,1

Alabama,2008,boy,specYes,under9,black,adopted,4057

